experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
reveil-zh	1	real	1	7	Ice-cream	5	36	虽然冰淇淋在卢旺达仍是新鲜事物，但恩当吉扎对这家店充满期待。“我觉得这是一件了不起的事情。它不仅需要技巧，更需要改变人们的观念，因为在卢旺达，售卖和食用冰淇淋并非传统。”在布塔雷的这家冰淇淋店，九名女性员工在工作之余都会加入“新鼓乐团”练习。这支由卡特塞十年前创立的乐团，是卢旺达首支也是唯一的女性鼓乐队。成员来自胡图族和图西族，其中许多人是1994年大屠杀的幸存者——那场浩劫夺去了近百万名图西族人和温和派胡图族人的生命。“新鼓乐团”的成员，有的是寡妇，有的是孤儿。英加比雷的父亲、两名兄弟姐妹以及众多亲人都在那场灾难中罹难。“我们当中，有些人活了下来，有些人失去了至亲。”她说，“当我和她们一起击鼓时，我感受到力量——因为我们依然活着，我们是生还者。”	5	击鼓对英加比雷来说意味着什么？	给予她作为幸存者的力量	让她可以与家人共享欢乐时光	让她更融入卢旺达文化	成为她释放压力的方式
reveil-zh	1	real	1	7	Ice-cream	6	37	"这家备受欢迎的冰淇淋店的故事被收录在纪录片《甜美梦想》中，该片由兄妹导演罗布和丽莎执导，讲述了一群女性如何在大屠杀后重建生活的故事，同时展现了女子鼓乐队的风采。
这部纪录片已在美国、英国及多个非洲国家上映，并于2014年在卢旺达首映。曾于1984年凭借电影剪辑荣获奥斯卡奖的丽莎表示：“这部影片讲述的是坚韧、希望、勇气和创造力，更是关于人如何掌控自己的命运。”"	6	丽莎认为这部电影的主题之一是什么？	勇气	如何改变朋友的生活	女性鼓手的重要性	爱
reveil-zh	1	real	1	8	Caveman	1	38	揭开远古猎人的神秘面貌：蓝眼、黑发、黝黑肌肤的欧洲先民@#@科学家从一颗欧洲史前猎人的智齿中提取基因，让我们得以一窥农业革命兴起之前的远古人类。这位中石器时代男子，距今约7000年前生活在西班牙，他的基因分析揭示了一个惊人的特征组合——蓝色眼睛、黑色或棕色头发，以及深色肌肤，颠覆了人们对早期欧洲人外貌的传统认知。此外，研究发现，他可能患有乳糖不耐症，相比于后来农耕社会的定居者，他对淀粉类食物的消化能力也较弱。这一发现不仅为我们描绘了远古欧洲人的真实面貌，也揭示了农业发展如何塑造了人类的饮食习惯和基因演变，为探索人类历史提供了全新视角。	1	这位中石器时代男子生活在哪里？	西班牙	科学家认为有7000个可能的居住地	欧洲的农场	非洲
reveil-zh	1	real	1	8	Caveman	2	39	农耕的出现让人类与动物的接触更加频繁，科学家曾推测，这一变化促使人类进化出更强大的免疫系统，以抵御动物传播的疾病。然而，新研究表明，农耕对免疫系统的影响可能被高估了。对这位远古狩猎采集者的基因分析发现，他早已携带增强免疫力的突变基因，使其能够抵御多种致病菌。其中一些基因至今仍存于现代欧洲人的体内。“在研究开始前，我以为能预见某些结果，” 研究负责人、巴塞罗那进化生物学研究所的卡莱斯·拉卢埃萨表示，“但最终，大多数假设都被颠覆了。”	2	基因测试揭示了关于人类免疫系统的哪些信息？	早在农耕出现之前，人类就已具备强大的免疫系统	基因能够影响免疫系统的强弱	现代欧洲人的免疫系统相对较弱	自远古狩猎采集者时期起，免疫系统便依赖健康饮食
reveil-zh	1	real	1	8	Caveman	3	40	2006年，一群洞穴探险者在西班牙西北部的坎塔布连山脉深处，偶然发现了一处错综复杂的洞穴系统，并在其中找到两具人类遗骸。这两名男子生前约三十出头，由于洞穴内寒冷而稳定的环境，他们的遗骸被完好保存至今。碳测年结果显示，他们生活在距今约七千年前，正值农业尚未从中东传入欧洲的时期。这一时间点与遗址出土的古代遗物相吻合，包括带孔的驯鹿牙齿饰品，曾被穿成串，挂在他们的衣物上，成为见证远古生活的珍贵印记。	3	驯鹿牙齿是在哪里发现的？	附在衣物上	悬挂在洞穴内	靠近洞穴壁画旁	放置在武器旁边
reveil-zh	1	real	1	8	Caveman	4	41	这一发现不仅对科学研究具有重要意义，也可能颠覆艺术家们对史前人类的传统想象。“在许多复原图中，我们总是看到这些狩猎采集者被描绘成一种肤色浅、外貌酷似现代欧洲人的形象。但从未有人呈现过一位肤色黝黑、蓝眼睛的中石器时代猎人。”卡莱斯·拉卢埃萨说道。为了探寻这位远古猎人与现代欧洲人的关联，西班牙研究团队对他的基因组进行了比对分析。结果显示，他的基因与当今北欧人，尤其是瑞典和芬兰人的基因最为接近。	4	哪个地区的现代人基因与中石器时代的狩猎采集者最为相近？	北欧	欧洲，但不包括瑞典和芬兰	西班牙	欧洲以外的地区
reveil-zh	1	real	1	9	Vienna	1	42	维也纳被评为全球生活质量最佳城市@#@维也纳被评为全球最宜居的城市，而巴格达则排名最末。根据第18届梅赛尔生活质量研究，德语国家的城市占据了前七名，维也纳与苏黎世、慕尼黑、杜塞尔多夫和法兰克福名列前茅。巴黎的排名大幅下滑，跌至第37位，仅略高于第39位的伦敦，主要原因是该市易受恐怖袭击影响。该研究评估了社会经济条件、健康、教育、住房和环境等方面，企业常依据这些数据来决定办事处和工厂的选址，以及员工薪酬。	1	巴黎在第18届梅赛尔生活质量研究中的排名是多少？	第37位	第10位	第39位	第2位
reveil-zh	1	real	1	9	Vienna	2	43	"32岁的海伦娜出生并成长在维也纳，她对家乡荣登全球最佳宜居城市并不意外。维也纳的社会民主政府长期致力于建设高质量的社会住房，使得这座城市的房价在全球大城市中显得格外平易近人。“我住在一间一百平方米的公寓，距离市中心步行20分钟，租金仅为800欧元（625英镑）。”她说。
而在伦敦，类似公寓的租金至少超过2000英镑，纽约则更贵，所以纽约在全球宜居城市中的排名只有第44位。"	2	海伦娜列举的她公寓的一个理想方面是什么？	它离市中心很近	它离她的工作地点步行20分钟	它是维也纳政府拥有的	它周围几乎没有犯罪
reveil-zh	1	real	1	9	Vienna	3	44	美国城市在这项研究中的排名相对较差，主要因为个人安全和犯罪问题。排名最高的美国城市是旧金山，位列第28，波士顿排在第34位。加拿大城市，尤其是温哥华，在榜单上远远超过美国的城市。“只有出国后，才会真正意识到维也纳有多安全，”海伦娜说。“我们的公共交通也很棒，地铁周末24小时运营，搭乘一次只需1欧元。”	3	出国后，海伦娜意识到什么？ 	维也纳比其他地方更安全	维也纳是世界上最安全的城市	美国城市的安全性不高	安全比什么都重要
reveil-zh	1	real	1	9	Vienna	4	45	“我们最大的优势就是地理位置，”奥地利驻伦敦大使马丁说，他曾在维也纳生活了20年，“柏林墙的倒塌帮助维也纳成为中欧商业中心。”根据世界银行的数据，奥地利人均生产总值（GDP）位居全球前列，次于美国，领先德国和英国，但仍低于邻国瑞士。瑞士的苏黎世被美世咨询公司评为全球第二高生活质量的城市，但维也纳人认为，他们的城市更有趣。“维也纳的学生人数超过任何其他德语国家的城市，”海伦娜说，“这里是一个日新月异、年轻且充满活力的城市，”她补充道。虽然她承认自己在奥地利旅游局工作，难免偏爱维也纳。	4	马丁工作的使馆在哪里？	伦敦	维也纳	苏黎世	纽约
reveil-zh	1	real	1	10	10am	1	46	为什么你的工作应该从上午10点开始@#@许多人深知自己长期睡眠不足，但如果有一个简单的方法可以改善这种状况——晚一点开始一天的工作或学习，会不会带来意想不到的好处呢？在英国科学节的一场演讲中，牛津大学睡眠与昼夜节律神经科学研究所的临床研究员保罗·凯利博士呼吁，学校应调整上课时间，以顺应学生的生物节律。这样不仅能提升认知能力和考试成绩，还可改善健康状况，因为睡眠不足已被证明与糖尿病、抑郁症、肥胖及免疫功能下降等问题密切相关。	1	凯利博士对当前学校的上课时间有何看法？	不利于学生健康	对患有糖尿病、抑郁症等健康问题的学生尤为不利	符合学生的自然睡眠节律	对学生和教师来说都过早
reveil-zh	1	real	1	10	10am	2	47	2014年发表的一篇论文指出，10岁儿童的自然醒来时间大约是早上6:30；到了16岁，这一时间推迟到8:00；而18岁的青少年——那些你可能认为懒惰的年轻人——其实在生理上更适合9:00起床。 传统的上课时间对10岁孩子来说或许合适，但对于16至18岁的学生而言，却并不科学。对于年长些的青少年而言，或许将上课时间调整到上午11点甚至更晚才更为合理。 凯利及其同事在论文中指出：“对青春期末期的青少年而言，早上7点的闹钟，相当于让一位50岁的教师在凌晨4点半起床。”	2	凯利为什么提到50岁的教师？	为了说明对青少年而言，早上7点起床是不自然的	为了证明教师也因当前的上课时间而受苦	为了说明青少年相比教师更懒惰	为了证明教师认可凯利的观点
reveil-zh	1	real	1	10	10am	3	48	他指出，问题并不在于劝说青少年早点入睡。“人体的生理节律由特定类型的光控制，”凯利解释道，“眼睛不仅仅依赖视杆细胞和视锥细胞感知光线，还包含一类特殊细胞，这些细胞会将信息传递至下丘脑的视交叉上核。”这一大脑区域掌控着人体的昼夜节律，调节着我们的24小时生物钟。凯利形象地比喻道：“这就像让人控制自己的心跳一样，不是你想调整就能做到的。”	3	凯利认为什么对人的睡眠节律至关重要？	特定类型的光线	早睡习惯	心率变化	体育锻炼
reveil-zh	1	real	1	10	10am	4	49	凯利指出，不仅仅是学生，成年人也能从向后延迟的上班时间中受益。他认为，工作时间应该更加符合人体的自然生理节律。谈及不同年龄段的平均睡眠缺失情况时，他表示：“14至24岁人群每晚平均少睡超过两小时；24岁到30或35岁的人，每晚少睡约一个半小时。这种情况会持续到大约55岁，才会恢复平衡。” 也就是说，10岁儿童与55岁成人的自然睡眠和起床时间基本相同。	4	哪个年龄段的平均睡眠缺失比24岁的人更严重？	14岁的人	30岁的人	仍在读书的30岁人士	70岁的人
reveil-zh	1	real	1	10	10am	5	50	这或许解释了为何传统的朝九晚五工作制根深蒂固。凯利指出，这一安排主要由年过五旬的管理者维持，因为这对他们最有利。那么，职场是否也该调整作息，实行错峰上班制？让50岁以上的员工8点上班，30多岁的人10点到岗，而实习生或学徒则推迟到11点？凯利认为，让个体的生物钟与工作节奏和谐同步将带来诸多积极影响。“这样不仅能提升工作表现、改善情绪，还能促进健康。这是一个令人振奋的方案，既能减少疾病，也能让人们更快乐、更高效。”	5	如果职场实行错峰上班制度，谁会最早到达公司？	50岁及以上的人	30多岁的人和青少年	更健康、更快乐的人	早睡的人
reveil-zh	1	real	1	10	10am	6	51	凯利表示，错峰上班或能减少交通事故，因为司机会更加清醒，注意力更集中。如果上班和送学时间错开，早晚高峰或许将成为历史。他认为，推迟一天开始工作的时间对所有人都有益，尤其是对家庭。“父母每天早晨都要叫醒按生物钟来说本该再睡三个小时的青少年，这无疑加剧了家庭矛盾。那么，凯利自己几点开始工作呢？“我今年67岁，生物钟就像回到了10岁，每天清晨六点刚过就自然醒。”他笑着补充道，“如今的清晨早起，比年轻时轻松多了。”	6	凯利认为，如果实行错峰上班，交通会受到怎样的影响？	早晚高峰将消失	早高峰会提前结束	交通高峰将整体后移	更多人会选择骑车或步行
